program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
OemDisplayModeDxe,000002C0,cpu_pause,3,annotation,yes,,,,OemDisplayModeDxe/000002C0.asm
OemDisplayModeDxe,000002D0,read_timestamp_counter,10,annotation,yes,,,,OemDisplayModeDxe/000002D0.asm
OemDisplayModeDxe,000002E0,enable_interrupts,2,annotation,yes,,,,OemDisplayModeDxe/000002E0.asm
OemDisplayModeDxe,000002F0,disable_interrupts,2,annotation,yes,,,,OemDisplayModeDxe/000002F0.asm
OemDisplayModeDxe,00000300,read_eflags,3,annotation,yes,,,,OemDisplayModeDxe/00000300.asm
OemDisplayModeDxe,00000310,entry,28,annotation,no,,,,OemDisplayModeDxe/00000310.asm
OemDisplayModeDxe,0000032C,FUN_0000032c,265,annotation,no,,,,OemDisplayModeDxe/0000032C.asm
OemDisplayModeDxe,00000438,FUN_00000438,494,annotation,no,,,,OemDisplayModeDxe/00000438.asm
OemDisplayModeDxe,00000628,FUN_00000628,105,auto,no,,,,OemDisplayModeDxe/00000628.asm
OemGlobalNvsDxe,00000260,zero_fill_buffer,29,annotation,yes,,,,OemGlobalNvsDxe/00000260.asm
OemGlobalNvsDxe,000002B0,FUN_000002b0,39,auto,no,,,,OemGlobalNvsDxe/000002B0.asm
OemGlobalNvsDxe,000002E0,cpu_pause,3,annotation,yes,,,,OemGlobalNvsDxe/000002E0.asm
OemGlobalNvsDxe,000002F0,read_tsc,10,annotation,yes,,,,OemGlobalNvsDxe/000002F0.asm
OemGlobalNvsDxe,00000300,enable_interrupts,2,annotation,yes,,,,OemGlobalNvsDxe/00000300.asm
OemGlobalNvsDxe,00000310,disable_interrupts,2,annotation,yes,,,,OemGlobalNvsDxe/00000310.asm
OemGlobalNvsDxe,00000320,read_rflags,3,annotation,yes,,,,OemGlobalNvsDxe/00000320.asm
OemGlobalNvsDxe,00000370,entry_dispatch,43,entry,yes,,,,OemGlobalNvsDxe/00000370.asm
OemGlobalNvsDxe,0000039C,init_locate_protocol,283,annotation,yes,,,,OemGlobalNvsDxe/0000039C.asm
OemGlobalNvsDxe,000004B8,init_allocate_and_register,193,annotation,yes,,,,OemGlobalNvsDxe/000004B8.asm
OemGlobalNvsDxe,0000057C,FUN_0000057c,897,auto,no,,,,OemGlobalNvsDxe/0000057C.asm
OemGlobalNvsDxe,00000900,classify_cpu_signature,407,annotation,yes,,,,OemGlobalNvsDxe/00000900.asm
OemGlobalNvsDxe,00000A98,write_status_port_byte,119,annotation,yes,,,,OemGlobalNvsDxe/00000A98.asm
OemGlobalNvsDxe,00000B10,FUN_00000b10,133,annotation,no,,,,OemGlobalNvsDxe/00000B10.asm
OemGlobalNvsDxe,00000B98,wait_status_port_bit1_clear,99,annotation,yes,,,,OemGlobalNvsDxe/00000B98.asm
OemGlobalNvsDxe,00000BFC,write_two_bytes_to_port_pair,198,annotation,yes,,,,OemGlobalNvsDxe/00000BFC.asm
OemGlobalNvsDxe,00000CC4,FUN_00000cc4,155,auto,no,,,,OemGlobalNvsDxe/00000CC4.asm
OemGlobalNvsDxe,00000D60,alloc_via_table_offset_0x40,43,annotation,yes,,,,OemGlobalNvsDxe/00000D60.asm
OemGlobalNvsDxe,00000D8C,alloc_and_zero_0x7d8_buffer,57,annotation,yes,,,,OemGlobalNvsDxe/00000D8C.asm
OemGlobalNvsDxe,00000DC8,find_padded_key_in_table,213,annotation,yes,,,,OemGlobalNvsDxe/00000DC8.asm
OemGlobalNvsDxe,00000EA0,store_value_by_width_code,109,annotation,yes,,,,OemGlobalNvsDxe/00000EA0.asm
OemGlobalNvsDxe,00000F10,FUN_00000f10,205,auto,no,,,,OemGlobalNvsDxe/00000F10.asm
OemGlobalNvsDxe,00000FE0,find_guid_in_saved_table,96,annotation,yes,,,,OemGlobalNvsDxe/00000FE0.asm
OemGlobalNvsDxe,00001040,lookup_cached_table_entry,47,annotation,yes,,,,OemGlobalNvsDxe/00001040.asm
OemGlobalNvsDxe,00001070,delay_us_via_port_0x1808,96,annotation,yes,,,,OemGlobalNvsDxe/00001070.asm
OemGlobalNvsDxe,000010D0,convert_us_to_timer_units,49,annotation,yes,,,,OemGlobalNvsDxe/000010D0.asm
OemGlobalNvsDxe,000011C0,memcpy_forward_or_reverse,176,annotation,yes,,,,OemGlobalNvsDxe/000011C0.asm
OemGlobalNvsSmm,00001000,save_cpu_context_to_frame,194,annotation,yes,,,,OemGlobalNvsSmm/00001000.asm
OemGlobalNvsSmm,000010D0,restore_cpu_context_from_frame,172,annotation,yes,,,,OemGlobalNvsSmm/000010D0.asm
OemGlobalNvsSmm,00001180,memmove,60,annotation,yes,,,,OemGlobalNvsSmm/00001180.asm
OemGlobalNvsSmm,000011C0,cpu_pause,3,annotation,yes,,,,OemGlobalNvsSmm/000011C0.asm
OemGlobalNvsSmm,000011D0,read_tsc_64bit,10,annotation,yes,,,,OemGlobalNvsSmm/000011D0.asm
OemGlobalNvsSmm,000011E0,enable_interrupts,2,annotation,yes,,,,OemGlobalNvsSmm/000011E0.asm
OemGlobalNvsSmm,000011F0,disable_interrupts,2,annotation,yes,,,,OemGlobalNvsSmm/000011F0.asm
OemGlobalNvsSmm,00001200,read_rflags,3,annotation,yes,,,,OemGlobalNvsSmm/00001200.asm
OemGlobalNvsSmm,00001230,smm_entry_save_context_and_register_handler,177,entry,yes,,,,OemGlobalNvsSmm/00001230.asm
OemGlobalNvsSmm,000012E4,FUN_000012e4,502,auto,no,,,,OemGlobalNvsSmm/000012E4.asm
OemGlobalNvsSmm,000014DC,ret_stub,3,annotation,yes,,,,OemGlobalNvsSmm/000014DC.asm
OemGlobalNvsSmm,000014E0,copy_to_global_0x21f8,35,annotation,yes,,,,OemGlobalNvsSmm/000014E0.asm
