program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
OemACPIDriverSmm,000011C0,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000011C0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000011D0,read_timestamp_counter,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000011D0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000011E0,enable_interrupts,2,annotation,yes,gate,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000011E0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000011F0,disable_interrupts,2,annotation,yes,gate,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000011F0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001200,read_rflags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001200.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001230,smm_handler_entry,114,entry,yes,module-entry,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001230.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000012A4,FUN_000012a4,502,auto,no,,,,OemACPIDriverSmm.c
OemACPIDriverSmm,000014DC,register_callback_and_copy_buffer,207,annotation,yes,protocol,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000014DC.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000015AC,empty_return_stub,3,annotation,yes,unresolved,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000015AC.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000015B0,copy_bytes_to_static_buffer,35,annotation,yes,copy,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000015B0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000015D4,range_table_contains_addr,67,annotation,yes,logic,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000015D4.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001618,query_protocol_value_arg6,46,annotation,yes,protocol,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001618.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001648,dispatch_to_base_table_method,57,annotation,yes,dispatch,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001648.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001684,lookup_guid_in_entry_table,105,annotation,yes,logic,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001684.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACRecoveryDxe,000002C0,dxe_module_entry,32,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemACRecoveryDxe/000002C0.asm; bios/decompiled/OemACRecoveryDxe.c,OemACRecoveryDxe.c
OemACRecoveryDxe,000002E0,FUN_000002e0,311,annotation,no,,,,OemACRecoveryDxe.c
OemACRecoveryPei,FFF82DE5,forward_vtable_0x24_call,20,entry,yes,forwarder,hand-decoded,bios/ghidra/listings/OemACRecoveryPei/FFF82DE5.asm; bios/decompiled/OemACRecoveryPei.c,OemACRecoveryPei.c
OemApControlDxe,000002C0,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemApControlDxe/000002C0.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,000002D0,read_timestamp_counter,10,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemApControlDxe/000002D0.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,000002E0,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemApControlDxe/000002E0.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,000002F0,FUN_000002f0,2,annotation,no,,,,OemApControlDxe.c
OemApControlDxe,00000300,read_rflags,3,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000300.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000310,module_entry_scan_and_apply,28,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000310.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,0000032C,FUN_0000032c,265,annotation,no,,,,OemApControlDxe.c
OemApControlDxe,00000438,apply_platform_port_registers,259,annotation,yes,writer,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000438.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,0000053C,FUN_0000053c,681,auto,no,,,,OemApControlDxe.c
OemApControlDxe,000007E8,write_port_byte_after_wait,119,annotation,yes,writer,hand-decoded,bios/ghidra/listings/OemApControlDxe/000007E8.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000860,FUN_00000860,133,auto,no,,,,OemApControlDxe.c
OemApControlDxe,000008E8,wait_port_input_buffer_empty,99,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemApControlDxe/000008E8.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,0000094C,exchange_command_and_data_byte,198,annotation,yes,gate,hand-decoded,bios/ghidra/listings/OemApControlDxe/0000094C.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000A14,write_port_register_byte,95,annotation,yes,writer,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000A14.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000A74,read_port_register_byte,155,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000A74.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000B10,find_config_table_entry_by_guid,105,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000B10.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000B7C,wait_port_1808_ticks,96,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000B7C.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemApControlDxe,00000BDC,usec_to_port_1808_ticks,49,annotation,yes,math,hand-decoded,bios/ghidra/listings/OemApControlDxe/00000BDC.asm; bios/decompiled/OemApControlDxe.c,OemApControlDxe.c
OemDDSSupportDxe,000002C0,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/000002C0.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,000002D0,read_tsc,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/000002D0.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,000002E0,enable_interrupts,2,annotation,yes,gate,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/000002E0.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,000002F0,disable_interrupts,2,annotation,yes,gate,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/000002F0.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000300,read_rflags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000300.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000310,module_entry,28,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000310.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,0000032C,init_scan_records_and_install,265,annotation,yes,init,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/0000032C.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000438,init_register_two_callbacks,172,annotation,yes,init,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000438.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000944,poll_status_bit1_until_clear,99,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000944.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000A70,lookup_entry_by_id_pair,105,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000A70.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000ADC,delay_poll_counter_port_1808,96,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000ADC.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDDSSupportDxe,00000B3C,delay_scaled_by_3579545,49,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDDSSupportDxe/00000B3C.asm; bios/decompiled/OemDDSSupportDxe.c,OemDDSSupportDxe.c
OemDgpuBoardIDDxe,00000300,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000300.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000310,read_timestamp_counter,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000310.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000320,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000320.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000330,disable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000330.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000340,read_rflags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000340.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000350,module_entry,28,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000350.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,0000036C,cache_system_table_and_locate_protocol,265,annotation,yes,init,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/0000036C.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000478,FUN_00000478,312,auto,no,,,,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,000008C4,FUN_000008c4,471,auto,no,,,,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000DF8,classify_mmio_word_e00f8002,87,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000DF8.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00000F50,wait_port_0x64_or_0x66_bit1_clear,99,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00000F50.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00001118,find_config_table_by_first_two_qwords,105,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00001118.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,00001184,wait_port_0x1808_ticks,96,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDDxe/00001184.asm; bios/decompiled/OemDgpuBoardIDDxe.c,OemDgpuBoardIDDxe.c
OemDgpuBoardIDDxe,000011E4,FUN_000011e4,49,auto,no,,,,OemDgpuBoardIDDxe.c
OemDgpuBoardIDPei,FFFAC38D,entry,37,entry,no,,,,OemDgpuBoardIDPei.c
OemDgpuBoardIDPei,FFFAC3B2,get_variable_and_fill_tables,176,annotation,yes,nvram,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDPei/FFFAC3B2.asm; bios/decompiled/OemDgpuBoardIDPei.c,OemDgpuBoardIDPei.c
OemDgpuBoardIDPei,FFFAC462,FUN_fffac462,302,auto,no,,,,OemDgpuBoardIDPei.c
OemDgpuBoardIDPei,FFFAC5BA,call_vtable_slot_0x18_1_arg,37,annotation,yes,unresolved,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDPei/FFFAC5BA.asm; bios/decompiled/OemDgpuBoardIDPei.c,OemDgpuBoardIDPei.c
OemDgpuBoardIDPei,FFFAC5DF,call_vtable_slot_0x20_5_args,45,annotation,yes,unresolved,hand-decoded,bios/ghidra/listings/OemDgpuBoardIDPei/FFFAC5DF.asm; bios/decompiled/OemDgpuBoardIDPei.c,OemDgpuBoardIDPei.c
OemDgpuBoardIDPei,FFFAC60C,FUN_fffac60c,68,auto,no,,,,OemDgpuBoardIDPei.c
OemDisplayModeDxe,000002C0,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemDisplayModeDxe/000002C0.asm; bios/decompiled/OemDisplayModeDxe.c,OemDisplayModeDxe.c
OemDisplayModeDxe,000002D0,read_timestamp_counter,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDisplayModeDxe/000002D0.asm; bios/decompiled/OemDisplayModeDxe.c,OemDisplayModeDxe.c
OemDisplayModeDxe,000002E0,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemDisplayModeDxe/000002E0.asm; bios/decompiled/OemDisplayModeDxe.c,OemDisplayModeDxe.c
OemDisplayModeDxe,000002F0,disable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemDisplayModeDxe/000002F0.asm; bios/decompiled/OemDisplayModeDxe.c,OemDisplayModeDxe.c
OemDisplayModeDxe,00000300,read_eflags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemDisplayModeDxe/00000300.asm; bios/decompiled/OemDisplayModeDxe.c,OemDisplayModeDxe.c
OemDisplayModeDxe,00000310,entry,28,annotation,no,,,,OemDisplayModeDxe.c
OemDisplayModeDxe,0000032C,FUN_0000032c,265,annotation,no,,,,OemDisplayModeDxe.c
OemDisplayModeDxe,00000438,FUN_00000438,494,annotation,no,,,,OemDisplayModeDxe.c
OemDisplayModeDxe,00000628,FUN_00000628,105,auto,no,,,,OemDisplayModeDxe.c
OemGlobalNvsDxe,00000260,zero_fill_buffer,29,annotation,yes,copy,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000260.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,000002B0,FUN_000002b0,39,auto,no,,,,OemGlobalNvsDxe.c
OemGlobalNvsDxe,000002E0,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/000002E0.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,000002F0,read_tsc,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/000002F0.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000300,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000300.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000310,disable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000310.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000320,read_rflags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000320.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000370,entry_dispatch,43,entry,no,module-entry,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000370.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,0000039C,init_locate_protocol,283,annotation,yes,protocol,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/0000039C.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,000004B8,init_allocate_and_register,193,annotation,yes,init,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/000004B8.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,0000057C,FUN_0000057c,897,auto,no,,,,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000900,classify_cpu_signature,407,annotation,yes,logic,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000900.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
OemGlobalNvsDxe,00000A98,write_status_port_byte,119,annotation,yes,ec-io,hand-decoded,bios/ghidra/listings/OemGlobalNvsDxe/00000A98.asm; bios/decompiled/OemGlobalNvsDxe.c,OemGlobalNvsDxe.c
