program,addr,name,outcome,instructions_checked,instructions_unchecked,detail,assembler
bank0,9016,FUN_CODE_9016,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9018,FUN_CODE_9018,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,901C,FUN_CODE_901c,assembler-gap,3,0,no bytes emitted at 901C,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,902A,FUN_CODE_902a,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9040,FUN_CODE_9040,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9041,FUN_CODE_9041,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9049,FUN_CODE_9049,match,39,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,909B,FUN_CODE_909b,partial,49,1,"1 of 50 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,90FE,FUN_CODE_90fe,partial,51,1,"1 of 52 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9167,FUN_CODE_9167,partial,18,3,"3 of 21 instruction(s) unchecked, first: acall 0x94af",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,91C5,FUN_CODE_91c5,match,43,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,924B,FUN_CODE_924b,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,924C,FUN_CODE_924c,match,23,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9277,FUN_CODE_9277,partial,49,5,"5 of 54 instruction(s) unchecked, first: mov 0xa0, CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9334,FUN_CODE_9334,partial,108,5,"5 of 113 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,93FE,FUN_CODE_93fe,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,93FF,FUN_CODE_93ff,partial,50,9,"9 of 59 instruction(s) unchecked, first: push DPH",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,948D,FUN_CODE_948d,partial,16,1,"1 of 17 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,94AF,FUN_CODE_94af,match,11,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,94C0,FUN_CODE_94c0,match,11,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,94D0,FUN_CODE_94d0,partial,127,11,"11 of 138 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,95DD,FUN_CODE_95dd,partial,88,6,"6 of 94 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,96AD,FUN_CODE_96ad,partial,271,22,"22 of 293 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,98FB,FUN_CODE_98fb,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9902,FUN_CODE_9902,partial,11,1,"1 of 12 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9917,FUN_CODE_9917,match,72,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,99A7,FUN_CODE_99a7,partial,35,2,"2 of 37 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,99ED,FUN_CODE_99ed,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A00,FUN_CODE_9a00,match,7,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A0D,FUN_CODE_9a0d,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A0E,FUN_CODE_9a0e,partial,56,1,"1 of 57 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A7B,FUN_CODE_9a7b,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A86,FUN_CODE_9a86,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A90,FUN_CODE_9a90,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9A9C,FUN_CODE_9a9c,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9AAD,FUN_CODE_9aad,partial,159,2,"2 of 161 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9BFD,FUN_CODE_9bfd,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9C00,FUN_CODE_9c00,match,13,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9C1D,FUN_CODE_9c1d,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9C24,FUN_CODE_9c24,match,17,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9C47,FUN_CODE_9c47,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9CA6,FUN_CODE_9ca6,match,129,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9D9A,FUN_CODE_9d9a,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9D9B,FUN_CODE_9d9b,partial,314,2,"2 of 316 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A00E,FUN_CODE_a00e,partial,146,5,"5 of 151 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A139,FUN_CODE_a139,partial,49,1,"1 of 50 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A169,FUN_CODE_a169,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A172,FUN_CODE_a172,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A1A8,FUN_CODE_a1a8,match,18,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A1C8,FUN_CODE_a1c8,partial,127,17,"17 of 144 instruction(s) unchecked, first: push DPH",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A2E0,FUN_CODE_a2e0,match,28,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A312,FUN_CODE_a312,partial,58,1,"1 of 59 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A374,FUN_CODE_a374,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A3C3,FUN_CODE_a3c3,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A3E0,FUN_CODE_a3e0,match,13,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A425,FUN_CODE_a425,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A426,FUN_CODE_a426,partial,83,3,"3 of 86 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A4D6,FUN_CODE_a4d6,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A663,FUN_CODE_a663,partial,14,1,"1 of 15 instruction(s) unchecked, first: ajmp 0xa0a6",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A678,thunk_FUN_CODE_a426,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A6C6,FUN_CODE_a6c6,partial,9,1,"1 of 10 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A716,FUN_CODE_a716,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A71A,FUN_CODE_a71a,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A725,FUN_CODE_a725,match,3,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A72A,FUN_CODE_a72a,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A73B,FUN_CODE_a73b,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A73F,FUN_CODE_a73f,assembler-gap,4,0,no bytes emitted at A73F,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A747,FUN_CODE_a747,match,62,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A7C8,FUN_CODE_a7c8,match,69,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A844,FUN_CODE_a844,partial,99,1,"1 of 100 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A96B,FUN_CODE_a96b,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,A97B,FUN_CODE_a97b,partial,68,1,"1 of 69 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AA90,FUN_CODE_aa90,match,23,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AAC6,FUN_CODE_aac6,partial,85,3,"3 of 88 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AB6D,FUN_CODE_ab6d,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AB6E,FUN_CODE_ab6e,match,24,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AB9E,FUN_CODE_ab9e,match,55,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AC08,FUN_CODE_ac08,match,28,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AC4A,FUN_CODE_ac4a,match,33,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,ACB4,FUN_CODE_acb4,assembler-gap,128,3,no bytes emitted at AD11,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,ADA3,FUN_CODE_ada3,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,ADAE,FUN_CODE_adae,match,84,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AE6D,FUN_CODE_ae6d,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AE79,FUN_CODE_ae79,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AE87,FUN_CODE_ae87,match,23,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AEC0,FUN_CODE_aec0,match,49,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AF27,FUN_CODE_af27,match,26,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AF66,FUN_CODE_af66,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AF72,FUN_CODE_af72,match,7,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AF7D,FUN_CODE_af7d,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AF8A,FUN_CODE_af8a,match,44,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AFCE,FUN_CODE_afce,match,19,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,AFF2,FUN_CODE_aff2,match,12,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B008,FUN_CODE_b008,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B012,FUN_CODE_b012,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B01C,FUN_CODE_b01c,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B026,FUN_CODE_b026,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B02F,FUN_CODE_b02f,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B038,FUN_CODE_b038,match,5,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
