file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D415,bank0,0xD415,cjne,3,0x1A,0xD432,0x0D432,yes,other,24,0,,
0x0D420,bank0,0xD420,cjne,3,0xF6,0xD419,0x0D419,yes,other,0,24,,
0x0D445,bank0,0xD445,cjne,3,0xD4,0xD41C,0x0D41C,yes,other,24,0,,
0x0D448,bank0,0xD448,cjne,3,0xD4,0xD41F,0x0D41F,yes,entry,24,0,,
0x0D44B,bank0,0xD44B,cjne,3,0xD4,0xD422,0x0D422,yes,other,24,0,,
0x0D466,bank0,0xD466,djnz,2,0xA5,0xD40D,0x0D40D,yes,other,24,0,,
0x0D469,bank0,0xD469,djnz,2,0xA6,0xD411,0x0D411,yes,other,24,0,,
0x0D479,bank0,0xD479,djnz,2,0xD4,0xD44F,0x0D44F,yes,other,24,0,,
0x0D47C,bank0,0xD47C,djnz,2,0xD4,0xD452,0x0D452,yes,other,24,0,,
0x0D47F,bank0,0xD47F,djnz,2,0x00,0xD481,0x0D481,yes,other,24,0,,
0x0D482,bank0,0xD482,djnz,3,0x02,0xD487,0x0D487,yes,entry,24,0,,
0x0D49C,bank0,0xD49C,jnz,2,0x69,0xD507,0x0D507,yes,other,23,1,,
0x0D4A3,bank0,0xD4A3,jbc,3,0x90,0xD436,0x0D436,yes,other,0,24,,
0x0D4A9,bank0,0xD4A9,jbc,3,0x90,0xD43C,0x0D43C,yes,other,3,21,,
0x0D4C1,bank0,0xD4C1,djnz,2,0x02,0xD4C5,0x0D4C5,yes,entry,1,23,,
0x0D4EB,bank0,0xD4EB,jnb,3,0x03,0xD4F1,0x0D4F1,yes,entry,1,23,,
0x0D4EC,bank0,0xD4EC,sjmp,2,0x03,0xD4F1,0x0D4F1,yes,entry,22,2,,
0x0D4EF,bank0,0xD4EF,djnz,3,0x90,0xD482,0x0D482,yes,other,0,24,,
0x0D500,bank0,0xD500,djnz,2,0x91,0xD493,0x0D493,yes,other,1,23,,
0x0D50F,bank0,0xD50F,sjmp,2,0x50,0xD561,0x0D561,yes,entry,0,24,,
0x0D510,bank0,0xD510,jnc,2,0x05,0xD517,0x0D517,yes,entry,23,1,,
