addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x0467,0,0,0,0,0,0,0
0x0468,17,17,0,0,16,1,0
0x0469,10,10,0,0,10,0,0
0x046A,4,4,0,0,4,0,0
0x046B,4,4,0,0,4,0,0
0x046C,3,3,0,0,3,0,0
0x046D,1,1,0,0,1,0,0
0x046E,2,2,0,0,2,0,0
0x046F,3,3,0,0,3,0,0
0x0470,2,2,0,0,0,2,0
0x0471,9,9,0,0,3,6,0
0x0472,14,14,0,0,0,14,0
0x0473,0,0,0,0,0,0,0
0x0474,2,0,2,0,0,0,2
0x0475,2,0,2,0,0,0,2
0x0476,18,18,0,0,11,7,0
0x0477,0,0,0,0,0,0,0
0x0478,0,0,0,0,0,0,0
0x0479,0,0,0,0,0,0,0
0x047A,0,0,0,0,0,0,0
0x047B,11,11,0,0,0,11,0
0x047C,4,4,0,0,0,4,0
0x047D,1,1,0,0,0,1,0
0x047E,12,12,0,0,3,9,0
0x047F,5,5,0,0,2,3,0
0x0480,10,10,0,0,1,9,0
0x0481,0,0,0,0,0,0,0
0x0482,0,0,0,0,0,0,0
0x0483,0,0,0,0,0,0,0
0x0484,0,0,0,0,0,0,0
0x0485,0,0,0,0,0,0,0
0x0486,0,0,0,0,0,0,0
0x0487,0,0,0,0,0,0,0
0x0488,0,0,0,0,0,0,0
0x0489,0,0,0,0,0,0,0
0x048A,2,2,0,0,0,2,0
0x048B,2,2,0,0,0,2,0
0x048C,6,6,0,0,0,6,0
0x048D,4,4,0,0,0,4,0
0x048E,2,2,0,0,0,2,0
0x048F,1,1,0,0,0,1,0
0x0490,102,102,0,0,32,70,0
0x0491,44,37,7,0,1,36,7
0x0492,16,16,0,0,2,14,0
0x0493,9,9,0,0,0,9,0
0x0494,24,24,0,0,1,23,0
0x0495,20,12,8,0,0,12,8
0x0496,6,6,0,0,2,4,0
0x0497,68,68,0,0,4,64,0
0x0498,4,4,0,0,0,4,0
0x0499,8,6,2,0,0,6,2
0x049A,3,3,0,0,0,3,0
0x049B,3,3,0,0,0,3,0
0x049C,5,5,0,0,0,5,0
0x049D,11,7,4,0,0,7,4
0x049E,3,3,0,0,0,3,0
0x049F,15,12,3,0,10,2,3
0x04A0,9,9,0,0,0,9,0
0x04A1,8,5,3,0,0,5,3
0x04A2,11,6,5,0,1,5,5
0x04A3,6,1,5,0,1,0,5
0x04A4,3,1,2,0,0,1,2
0x04A5,3,0,3,0,0,0,3
0x04A6,7,3,4,0,1,2,4
0x04A7,2,2,0,0,1,1,0
