scope,addr,name,annotated,also_in,inbound,lcall,ljmp,ajmp,acall,callers,named_callers,cited_by,citing
common,4F3E,FUN_CODE_4f3e,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,4FED,FUN_CODE_4fed,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,50DE,FUN_CODE_50de,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,51C8,FUN_CODE_51c8,no,bank1,1,1,0,0,0,1,1,1,bank0:541D
common,7281,FUN_CODE_7281,no,bank1,1,1,0,0,0,1,1,1,bank0:724B
pd,0DC9,FUN_CODE_0dc9,no,,1,1,0,0,0,1,1,1,pd:DFB2
pd,3883,FUN_CODE_3883,no,,1,1,0,0,0,1,1,1,pd:CCB7
pd,7B14,FUN_CODE_7b14,no,,1,0,1,0,0,1,1,1,pd:F786
pd,987F,FUN_CODE_987f,no,,1,1,0,0,0,1,1,1,pd:C0EF
pd,A000,FUN_CODE_a000,no,,1,0,0,0,1,1,1,1,pd:A339
pd,B73F,FUN_CODE_b73f,no,,1,1,0,0,0,1,1,1,pd:C755
pd,B8DB,FUN_CODE_b8db,no,,1,1,0,0,0,1,1,1,pd:ABBF
pd,B9A1,FUN_CODE_b9a1,no,,1,1,0,0,0,1,1,1,pd:C755
pd,CBB0,FUN_CODE_cbb0,no,,1,1,0,0,0,1,1,1,pd:EF79
pd,D435,FUN_CODE_d435,no,,1,0,1,0,0,1,1,1,pd:E458
pd,D72E,FUN_CODE_d72e,no,,1,1,0,0,0,1,1,1,pd:C2FA
pd,E757,FUN_CODE_e757,no,,1,1,0,0,0,1,1,1,pd:A339
pd,E8D4,FUN_CODE_e8d4,no,,1,1,0,0,0,1,1,1,pd:DF6A
pd,E902,FUN_CODE_e902,no,,1,1,0,0,0,1,1,1,pd:DA44
pd,EE8B,FUN_CODE_ee8b,no,,1,1,0,0,0,1,1,1,pd:C2FA
common,1100,bl51_bank_select_0,yes,bank1,264,0,264,0,0,264,68,0,
bank1,8886,read_xdata_pair_to_r1r2,yes,,98,98,0,0,0,58,41,0,
bank1,888C,write_r1r2_to_xdata_pair,yes,,86,86,0,0,0,36,22,0,
bank1,8892,read_xdata_pair_to_r3r4,yes,,59,59,0,0,0,43,35,0,
bank1,8863,cmp_r3r4_against_r1r2_16bit,yes,,58,58,0,0,0,34,25,0,
bank1,889E,write_r3r4_to_xdata_pair,yes,,57,57,0,0,0,20,17,0,
pd,0FAF,read4xdata_to_r4_r7,yes,,55,50,5,0,0,38,34,0,
pd,9028,make_dptr_r6_minus_3_9028,yes,,50,50,0,0,0,10,7,0,
pd,104D,write4_inline_args,yes,,44,44,0,0,0,18,15,0,
bank0,4777,stage_0a54_0a55_then_dispatch,yes,,36,36,0,0,0,27,23,0,
common,2990,advance_bfe_counter_publish_at_bfd,yes,bank1,34,32,2,0,0,5,1,0,
pd,1041,write4xdata_from_r4_r7,yes,,33,31,2,0,0,24,20,0,
bank1,885B,sub_r1r2_from_r3r4,yes,,32,32,0,0,0,24,18,0,
pd,10BC,add_full_product_to_dptr,yes,,29,14,15,0,0,29,29,0,
pd,349B,dph_plus_double_a_349b,yes,,27,27,0,0,0,7,5,0,
bank1,88F0,push_r5_into_070f_ring_when_gates_pass,yes,,25,25,0,0,0,22,21,0,
bank1,198A,trampoline_to_c1e7,yes,,22,22,0,0,0,20,14,0,
common,1114,bl51_bank_select_1,yes,bank1,21,0,21,0,0,21,20,0,
common,4A69,code_word_to_dptr_4a69,yes,bank1,21,21,0,0,0,6,2,0,
bank1,8898,read_xdata_pair_to_b_and_a,yes,,20,20,0,0,0,19,7,0,
bank1,A5E6,mul_16_round_shift_subtract,yes,,20,20,0,0,0,13,9,0,
pd,122F,add_dptr_to_word_0d0e_ea_guard,yes,,20,13,7,0,0,19,18,0,
bank0,B9D8,read_06e6_xor_01,yes,,19,19,0,0,0,17,11,0,
bank1,19A8,trampoline_to_c118,yes,,19,19,0,0,0,19,16,0,
pd,10E8,store_3byte_r3r2r1,yes,,19,17,2,0,0,19,17,0,
bank1,1984,trampoline_to_c10c,yes,,18,18,0,0,0,17,14,0,
common,3FA4,store_r7_to_iram_31,yes,bank1,18,3,15,0,0,18,5,0,
pd,F739,call_returns_with_dptr_loaded,yes,,18,18,0,0,0,10,9,0,
bank0,BA36,read_low_nibble_074c,yes,,17,17,0,0,0,7,4,0,
bank0,445E,stage_and_commit_0a56_block,yes,,16,15,1,0,0,14,13,0,
bank0,B93D,load_dptr_be16_from_xdata,yes,,16,16,0,0,0,8,5,0,
common,3F9D,store_r7_to_iram_bb_then_set_68_0,yes,bank1,16,2,14,0,0,16,4,0,
pd,9850,load_dptr_d9ef_tail_jump_10f1,yes,,16,16,0,0,0,5,4,0,
bank1,896A,gate_06e6_0440_then_call_89b5,yes,,15,15,0,0,0,9,9,0,
bank0,94D0,copy_code_table_into_0730_07a7,yes,,14,14,0,0,0,9,7,0,
common,05E8,critical_section_enter_05e8,yes,bank1,14,14,0,0,0,14,10,0,
bank0,0EA2,timer1_counted_delay_using_0a56,yes,,13,13,0,0,0,11,10,0,
bank1,88A4,sub_r0_from_r1_stash_r0_on_borrow,yes,,13,13,0,0,0,2,2,0,
common,3B22,mul13_table_lookup_3b22,yes,bank1,13,13,0,0,0,10,2,0,
common,7151,switch_case_dispatch,yes,bank1,13,13,0,0,0,13,7,0,
pd,0F0E,sub_or_cmp_r0_r7,yes,,13,6,7,0,0,10,9,0,
bank0,B8C0,test_0770_equals_04,yes,,12,12,0,0,0,8,5,0,
common,05EF,critical_section_exit_05ef,yes,bank1,12,11,1,0,0,12,9,0,
common,355E,FUN_CODE_355e,no,bank1,12,0,12,0,0,2,0,0,
common,4A4D,code_word_to_dptr_4a4d,yes,bank1,12,12,0,0,0,9,2,0,
common,70E4,be16_add,yes,bank1,12,8,4,0,0,12,9,0,
pd,6FAF,scaled_lookup_from_a_times_5e_plus_f8,yes,,12,12,0,0,0,12,10,0,
bank0,A73F,store_r7_at_6a_then_jump_1666,yes,,11,9,2,0,0,10,8,0,
bank0,B958,write_4_bytes_ending_0a_4b_00,yes,,11,11,0,0,0,4,4,0,
bank1,CBF3,publish_0514_and_0342_product,yes,,11,11,0,0,0,11,7,0,
common,3B70,dph_from_a_dpl_from_code_3b70,yes,bank1,11,11,0,0,0,8,2,0,
common,5A43,addc_chain_into_r7_5a43,yes,bank1,11,0,0,11,0,8,0,0,
pd,F4AB,store_4bytes_to_0a82,yes,,11,11,0,0,0,7,3,0,
bank0,B987,read_dptr_byte_into_r6,yes,,10,10,0,0,0,6,5,0,
bank0,D038,mul_06e7_by_5,yes,,10,10,0,0,0,4,4,0,
bank1,1AAA,trampoline_bank0_8590,yes,,10,10,0,0,0,1,1,0,
common,159A,load_dptr_c251_tail_jump_1100,yes,bank1,10,10,0,0,0,8,4,0,
common,1636,load_dptr_d991_tail_jump_1100,yes,bank1,10,10,0,0,0,8,7,0,
common,7110,dptr_plus_a_times_b_16bit,yes,bank1,10,6,4,0,0,8,7,0,
pd,0C58,write_byte_at_dptr_plus_r1r2_by_tag,yes,,10,7,3,0,0,6,5,0,
pd,10C8,read3_xdata_to_r3r1_10c8,yes,,10,6,4,0,0,10,10,0,
pd,128D,fill_bytes_by_ptr_kind,yes,,10,9,1,0,0,10,6,0,
pd,F75C,read_dptr_byte_via_716c,yes,,10,10,0,0,0,10,9,0,
bank0,B939,store_a_to_dptr_b939,yes,,9,9,0,0,0,2,2,0,
bank0,B93A,set_dptr_0a51_b93a,yes,,9,9,0,0,0,2,2,0,
bank0,BB40,fan_mode_get,yes,,9,9,0,0,0,5,5,0,
bank0,D757,unresolved_multiarm_dispatch_d757,yes,,9,0,9,0,0,1,1,0,
bank0,E4FE,write_fe_r7_to_0f61_62,yes,,9,9,0,0,0,7,6,0,
bank0,F08B,set_0a56_to_0f_60_00_00_00,yes,,9,9,0,0,0,9,7,0,
bank1,8854,add_r1r2_to_r3r4,yes,,9,9,0,0,0,6,3,0,
common,0C86,FUN_CODE_0c86,no,bank1,9,1,8,0,0,2,0,0,
common,2F1D,FUN_CODE_2f1d,no,bank1,9,9,0,0,0,6,0,0,
common,3ACC,FUN_CODE_3acc,no,bank1,9,8,1,0,0,8,0,0,
bank0,8274,index_table_default,yes,,8,0,8,0,0,8,8,0,
bank0,8F03,call_bb28_on_1804,yes,,8,0,8,0,0,1,1,0,
bank1,89F4,zero_xdata_bytes_r2r1_through_r2r3,yes,,8,8,0,0,0,3,2,0,
bank1,9ED4,ring_write_0990_len_2f,yes,,8,8,0,0,0,5,5,0,
bank1,BD10,mask_0491_with_c0,yes,,8,0,8,0,0,2,2,0,
bank1,CDDA,clamp_r1r2_against_const_from_0491,yes,,8,8,0,0,0,7,7,0,
bank1,E57E,push_r7_call_e5d6_pop_r7,yes,,8,8,0,0,0,7,7,0,
common,30B5,FUN_CODE_30b5,no,bank1,8,8,0,0,0,8,1,0,
common,3239,FUN_CODE_3239,no,bank1,8,0,8,0,0,1,0,0,
common,3BAE,FUN_CODE_3bae,no,bank1,8,8,0,0,0,7,0,0,
bank0,9C47,ret_only_9c47,yes,,7,0,7,0,0,1,0,0,
bank0,B965,add_r6_r7_to_0a58_pair_then_halve,yes,,7,7,0,0,0,7,7,0,
bank0,BA3D,store_a_to_dptr_ba3d,yes,,7,7,0,0,0,7,7,0,
bank1,8B8F,clear_0480_bit4_set_0459_01_06e1_a0,yes,,7,5,2,0,0,7,7,0,
bank1,A5A7,mul_partial_products_r0_r1_r2_r3,yes,,7,7,0,0,0,5,1,0,
bank1,BF3A,guard_then_store_pair_0834,yes,,7,0,7,0,0,4,2,0,
bank1,C4D2,setup_1c00_block_with_arg_4c,yes,,7,7,0,0,0,2,0,0,
common,0ECC,timer1_counted_delay_count_in_r7,yes,bank1,7,7,0,0,0,7,2,0,
common,220A,FUN_CODE_220a,no,bank1,7,7,0,0,0,1,0,0,
common,43A5,FUN_CODE_43a5,no,bank1,7,7,0,0,0,6,0,0,
common,4AFB,FUN_CODE_4afb,no,bank1,7,7,0,0,0,5,0,0,
pd,0F1F,shr_32bit_r4r7_by_r0,yes,,7,7,0,0,0,5,4,0,
pd,34A5,read_byte_to_r7_base_0420,yes,,7,7,0,0,0,4,3,0,
pd,B074,call_c1dd_store_r7_then_call_122f,yes,,7,7,0,0,0,3,3,0,
bank0,163C,load_dptr_88f0_tail_jump_1114,yes,,6,6,0,0,0,4,2,0,
bank0,B9C6,add_0318_0319_into_r7_r6,yes,,6,6,0,0,0,3,2,0,
bank0,BADE,tailcall_70e4_add_0100_at_dptr,yes,,6,6,0,0,0,6,2,0,
bank0,BC0E,dptr_add_4x_a,yes,,6,6,0,0,0,3,3,0,
bank0,C31F,test_1606_bit4_inverted,yes,,6,6,0,0,0,1,1,0,
bank0,D005,movc_two_code_bytes_into_06e8_06e9,yes,,6,6,0,0,0,3,3,0,
bank0,D029,code_jump_to_two_bytes_at_dptr,yes,,6,6,0,0,0,3,3,0,
bank0,F121,write_98_to_0f60,yes,,6,6,0,0,0,6,6,0,
bank0,F128,set_r3_09_r5_80_r7_01,yes,,6,6,0,0,0,6,6,0,
bank1,19D2,trampoline_to_85c6,yes,,6,6,0,0,0,4,4,0,
bank1,1A68,load_dptr_85fb_tail_jump_1100,yes,,6,6,0,0,0,6,6,0,
bank1,859B,clear_1c04_1c05_set_1c00_ff,yes,,6,6,0,0,0,4,4,0,
bank1,A567,write_0_to_200b_335_times,yes,,6,6,0,0,0,4,3,0,
bank1,C541,write_zero_to_200b_six_times,yes,,6,6,0,0,0,2,2,0,
common,0937,FUN_CODE_0937,no,bank1,6,4,2,0,0,6,0,0,
common,09A2,FUN_CODE_09a2,no,bank1,6,3,3,0,0,6,0,0,
common,2896,clear_iram_6d_7f_then_xdata_b00_bfe,yes,bank1,6,5,1,0,0,6,4,0,
common,2E9C,FUN_CODE_2e9c,no,bank1,6,6,0,0,0,4,0,0,
common,3983,FUN_CODE_3983,no,bank1,6,6,0,0,0,2,0,0,
common,3AD1,FUN_CODE_3ad1,no,bank1,6,5,1,0,0,5,0,0,
common,3B32,FUN_CODE_3b32,no,bank1,6,6,0,0,0,6,1,0,
common,3B51,dptr_3a00_plus_13x_3b51,yes,bank1,6,6,0,0,0,6,2,0,
pd,0BC4,read_byte_at_dptr_plus_r1r2_by_tag,yes,,6,4,2,0,0,6,5,0,
pd,0F00,negate_32bit_r4r7,yes,,6,5,1,0,0,6,5,0,
pd,0FCB,load_xdata_to_r0_r1_r2_or_r3,yes,,6,6,0,0,0,6,6,0,
pd,119C,dispatch_code_table,yes,,6,6,0,0,0,6,5,0,
pd,352C,write_3bytes_to_0a86,yes,,6,6,0,0,0,3,1,0,
pd,366E,write_xdata_then_set_r5_2,yes,,6,6,0,0,0,3,1,0,
pd,906D,make_dptr_r6_minus_3_col_r3,yes,,6,6,0,0,0,4,2,0,
pd,96ED,dptr_0a13_plus_17_times_a,yes,,6,6,0,0,0,3,2,0,
pd,ACCE,set_dptr_07d6,yes,,6,6,0,0,0,1,0,0,
pd,ACE6,index_a_by_23_add_0a2d,yes,,6,6,0,0,0,2,1,0,
pd,AD09,zero_extend_a_into_r4_r7,yes,,6,6,0,0,0,4,4,0,
pd,E1E0,copy_0815_to_081b_then_call_c873,yes,,6,5,1,0,0,3,2,0,
pd,EEAE,write_r7_at_0x0260_plus_0bab_result,yes,,6,6,0,0,0,3,3,0,
bank0,821F,index_case_epilogue,yes,,5,0,5,0,0,5,5,0,
bank0,9040,bare_ret_9040,yes,,5,0,5,0,0,1,1,0,
bank0,A1C8,select_code_table_entry_and_store_0872_087a_088a,yes,,5,0,5,0,0,1,1,0,
bank0,B955,set_dptr_0a59_b955,yes,,5,5,0,0,0,2,2,0,
bank0,B9EA,read_1919_byte_set_dptr_0a56,yes,,5,5,0,0,0,5,5,0,
bank0,D2BE,ret_only_d2be,yes,,5,0,5,0,0,1,1,0,
bank0,D991,store_r4_r5_into_record_6e65,yes,,5,5,0,0,0,5,4,0,
bank0,ED47,gate_a4b_eq_9,yes,,5,0,5,0,0,1,1,0,
bank0,EDBC,four_calls_then_4777_flag,yes,,5,5,0,0,0,5,5,0,
bank0,F09F,set_0f60_84_and_0a56_block,yes,,5,5,0,0,0,5,5,0,
bank1,8F37,write_047f_and_arm_06d1_fa,yes,,5,5,0,0,0,3,3,0,
bank1,F127,bare_ret_f127,yes,,5,0,5,0,0,5,5,0,
common,21DC,FUN_CODE_21dc,no,bank1,5,5,0,0,0,1,0,0,
common,2B6C,FUN_CODE_2b6c,no,bank1,5,5,0,0,0,5,1,0,
common,2BC1,clamp_iram_80_up_to_r7,yes,bank1,5,4,1,0,0,4,2,0,
common,3B4E,read_dptr_into_r6_then_r7_3b4e,yes,bank1,5,5,0,0,0,5,1,0,
common,4A76,mov_a_from_r1_4a76,yes,bank1,5,5,0,0,0,3,1,0,
pd,0012,FUN_CODE_0012,no,,5,0,0,5,0,1,1,0,
pd,0050,call_10f1_then_jmp_1229,yes,,5,5,0,0,0,5,5,0,
pd,0DBC,add_32bit_r0r3_to_r4r7,yes,,5,4,1,0,0,5,5,0,
pd,ACBF,read_xdata_at_dptr_acbf,yes,,5,5,0,0,0,2,2,0,
pd,B2CD,read3_from_07d5_into_r3_r1,yes,,5,5,0,0,0,1,0,0,
pd,DC29,call_122f_with_dptr_fffe,yes,,5,4,1,0,0,3,1,0,
bank0,708F,div_r6r4_by_r5_16bit,yes,,4,3,1,0,0,4,3,0,
bank0,8931,threshold_cascade_from_08eb_085f,yes,,4,0,4,0,0,1,1,0,
bank0,A747,stage_0769_076e_convert_to_1803,yes,,4,3,1,0,0,4,2,0,
bank0,B989,finish_dptr_be16_load,yes,,4,4,0,0,0,2,0,0,
bank0,B994,store_a_to_dptr_b994,yes,,4,4,0,0,0,3,3,0,
bank0,BA15,clr_a,yes,,4,4,0,0,0,4,4,0,
