addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D6,0x2890A,pd-image,0x890A,24,0,read x1,"movx a,@dptr ; jc +0x12",flow opcode
0x07D6,0x2893A,pd-image,0x893A,24,0,read x1,"movx a,@dptr ; mov 0xf0,#0x5e ; mul ab ; add a,#0x08 ; mov 0x82,a ; clr a ; addc a,#0x09",max_insns (8) exhausted
0x07D6,0x2894E,pd-image,0x894E,22,2,DPTR handed to lcall 0x70f8 -- direction unresolved here,lcall 0x70f8,flow opcode
0x07D6,0x2895E,pd-image,0x895E,24,0,DPTR handed to lcall 0x70ba -- direction unresolved here,lcall 0x70ba,flow opcode
0x07D6,0x2897C,pd-image,0x897C,20,4,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x701a",flow opcode
0x07D6,0x2898C,pd-image,0x898C,21,3,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xf41a",flow opcode
0x07D6,0x28996,pd-image,0x8996,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf390",flow opcode
0x07D6,0x2899E,pd-image,0x899E,22,2,read x1,"movx a,@dptr ; lcall 0x70d9",flow opcode
0x07D6,0x289CC,pd-image,0x89CC,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D6,0x28A11,pd-image,0x8A11,24,0,"read x2, walks 2 consecutive bytes (inc dptr)","movx a,@dptr ; mov r7,a ; inc dptr ; movx a,@dptr ; mov r5,a ; sjmp +0x0a",flow opcode
0x07D6,0x28A20,pd-image,0x8A20,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf686",flow opcode
0x07D6,0x28A28,pd-image,0x8A28,22,2,DPTR handed to lcall 0x6fad -- direction unresolved here,lcall 0x6fad,flow opcode
0x07D6,0x28A3D,pd-image,0x8A3D,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r3,a ; mov r2,a ; mov r5,#0x06 ; ljmp 0xa339",flow opcode
0x07D6,0x2951B,pd-image,0x951B,24,0,DPTR handed to lcall 0xb2f7 -- direction unresolved here,lcall 0xb2f7,flow opcode
0x07D6,0x29585,pd-image,0x9585,24,0,DPTR handed to lcall 0x10c8 -- direction unresolved here,lcall 0x10c8,flow opcode
0x07D6,0x2A0E6,pd-image,0xA0E6,24,0,"read x1, write x1","mov a,r7 ; movx @dptr,a ; movx a,@dptr ; mov r7,a ; mov 0xf0,#0x5e ; mul ab ; add a,#0xf1",max_insns (8) exhausted
0x07D6,0x2A125,pd-image,0xA125,24,0,read x1,"movx a,@dptr ; lcall 0xacd3",flow opcode
0x07D6,0x2A184,pd-image,0xA184,24,0,read x1,"movx a,@dptr ; lcall 0xace6",flow opcode
0x07D6,0x2A198,pd-image,0xA198,24,0,read x1,"movx a,@dptr ; lcall 0xace6",flow opcode
0x07D6,0x2A1AC,pd-image,0xA1AC,24,0,read x1,"movx a,@dptr ; lcall 0xace6",flow opcode
0x07D6,0x2A1EE,pd-image,0xA1EE,24,0,read x1,"movx a,@dptr ; lcall 0xace6",flow opcode
0x07D6,0x2ACCE,pd-image,0xACCE,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov 0xf0,#0x17 ; mul ab ; add a,#0x2c ; mov 0x82,a ; clr a",max_insns (8) exhausted
0x07D6,0x2B73F,pd-image,0xB73F,24,0,"write x2, walks 2 consecutive bytes (inc dptr)","mov a,r7 ; movx @dptr,a ; clr a ; inc dptr ; movx @dptr,a ; mov r4,#0x02 ; mov r5,#0x60",max_insns (8) exhausted
0x07D6,0x2B7AA,pd-image,0xB7AA,23,1,read x1,"movx a,@dptr ; mov r7,a ; pop 0x01 ; pop 0x02 ; lcall 0x04c0",flow opcode
0x07D6,0x2B7C5,pd-image,0xB7C5,24,0,read x1,"movx a,@dptr",DPTR reloaded
0x07D6,0x2B800,pd-image,0xB800,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x37df",flow opcode
0x07D6,0x2BB32,pd-image,0xBB32,24,0,write x1,"mov a,r7 ; movx @dptr,a ; jz +0x08",flow opcode
0x07D6,0x2BB41,pd-image,0xBB41,22,2,DPTR handed to lcall 0xb233 -- direction unresolved here,lcall 0xb233,flow opcode
0x07D6,0x2BB50,pd-image,0xBB50,24,0,no movx found in the decoded window,jnz +0x0f,flow opcode
0x07D6,0x2BB80,pd-image,0xBB80,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c",flow opcode
0x07D6,0x2BB98,pd-image,0xBB98,22,2,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c",flow opcode
0x07D6,0x2BBAD,pd-image,0xBBAD,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf054",flow opcode
0x07D6,0x2BBB5,pd-image,0xBBB5,22,2,read x1,"movx a,@dptr ; mov r7,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D6,0x2BD62,pd-image,0xBD62,24,0,write x1,"mov a,r7 ; movx @dptr,a ; jz +0x08",flow opcode
0x07D6,0x2BD71,pd-image,0xBD71,23,1,DPTR handed to lcall 0xb233 -- direction unresolved here,lcall 0xb233,flow opcode
0x07D6,0x2BD80,pd-image,0xBD80,24,0,no movx found in the decoded window,jnz +0x0f,flow opcode
0x07D6,0x2BDB0,pd-image,0xBDB0,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf755",flow opcode
0x07D6,0x2BDC8,pd-image,0xBDC8,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf755",flow opcode
0x07D6,0x2BDDD,pd-image,0xBDDD,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf054",flow opcode
0x07D6,0x2BDE5,pd-image,0xBDE5,22,2,read x1,"movx a,@dptr",DPTR reloaded
0x07D6,0x2BECB,pd-image,0xBECB,23,1,"write x2, walks 3 consecutive bytes (inc dptr)","mov a,r5 ; movx @dptr,a ; inc dptr ; mov a,r3 ; movx @dptr,a ; clr a ; inc dptr",max_insns (8) exhausted
0x07D6,0x2BEFB,pd-image,0xBEFB,22,2,read x1,"movx a,@dptr ; xrl a,#0x01 ; jnz +0x42",flow opcode
0x07D6,0x2C6C4,pd-image,0xC6C4,24,0,DPTR handed to lcall 0xb2f1 -- direction unresolved here,lcall 0xb2f1,flow opcode
0x07D6,0x2C6D1,pd-image,0xC6D1,24,0,DPTR handed to lcall 0xb293 -- direction unresolved here,lcall 0xb293,flow opcode
0x07D6,0x2C6EB,pd-image,0xC6EB,24,0,read x1,"movx a,@dptr ; mov r6,a ; clr a ; add a,#0x01 ; mov r7,a ; mov a,r6 ; addc a,#0xfd",max_insns (8) exhausted
0x07D6,0x2C724,pd-image,0xC724,24,0,read x1,"movx a,@dptr ; jz +0x03",flow opcode
0x07D6,0x2CFA0,pd-image,0xCFA0,24,0,DPTR handed to lcall 0x1041 -- direction unresolved here,lcall 0x1041,flow opcode
