ts,ac,status,capacity,charge_now,current_now,voltage_now,profile,ec_hex
2026-09-09T00:26:28+02:00,0,Discharging,51,1020000,2177000,14250000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001008108fc03aa3700000400340007000000000000008e1500001f000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00003a0c8108bd0195510a33333b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:27:28+02:00,0,Discharging,49,980000,1973000,14290000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100b507d403d23700000400340007000000000000008e1300001b000032715502005200cb808001b30000000000013c430507f9000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00003a0cb507bd0195510a31313b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T07:14:36+02:00,1,Charging,33,660000,2006000,16232000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200d6079402683f0000050024000700080000000000be22000140000022715502005200cb808001b300000000000000430500000000000037370000006e0000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000d60bd607be0195510a21210e01000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:15:36+02:00,1,Charging,34,680000,1972000,16326000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200b407a802c63f0000050028000700080000000000be2100013f000025715502005200cb808001b300000000000000430500000000000037370000006e0000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000d60bb407be0195510a22220f02000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:16:36+02:00,1,Charging,36,720000,1972000,16349000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200b407d002dd3f000005002c000700080000000000be23000142000029715502005200cb808001b300000000000000430500000000000037370000006e0000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000e00bb407be0195510a24240f03000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:17:36+02:00,1,Charging,38,760000,1938000,16373000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000002009207f802f53f000005002e000700080000000000be2200014100002c715502005200cb808001b300000000000000430500000000000037370000006e0000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000e00b9207be0195510a26261004000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:18:37+02:00,1,Charging,39,780000,1938000,16373000,Trickle,00000410d0070000603b7d003e003e0092070000000000000000000000000000000000000000000000000000000000000000020092070c03f53f0000050031000700080000000000be2600014400002f715502005200cb808001b300000000000000430500000000000037370000006e0000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000ea0b9207be0195510a27271005000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:19:37+02:00,1,Charging,41,820000,1938000,16373000,Trickle,00000410d0070000603b7d003e003e0092070000000000000000000000000000000000000000000000000000000000000000020092073403f53f0000050033000700080000000000be23000142000031715502005200cb808001b30000000000000043050000000000004b4b000000a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000ea0b9207be0195510a29291106000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:20:37+02:00,1,Charging,43,860000,1938000,16396000,Trickle,00000410d0070000603b7d003e003e0092070000000000000000000000000000000000000000000000000000000000000000020092075c030c400000050033000700080000000000be24000144000032715502005200cb808001b300000000000000430508010000023c4b4b082500a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000f40b9207be0195510a2b2b1107000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
2026-09-09T07:21:37+02:00,1,Charging,44,880000,1938000,16396000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000200920770030c400000050032000700080000000000be26000145000030715502005200cb808001b300000000000000430508070000023c4b4b082d00a50000010000000000000000b00000cc00030000000000000000000000000000000fc1000000000047000000000000000a0000f40b9207be0195510a2c2c1108000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000001000000
