ts,phase,ac,charging,capacity,remaining_mwh,wmi_rate_mw,ec_current_ma,ec_voltage_mv,ec_07a6,ec_07b9,ec_07d0,ec_07d1,ec_07cc
2026-09-19T11:50:07+02:00,biosdefaults_nohdmi_stationary,1,1,79,24016,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:50:18+02:00,biosdefaults_nohdmi_stationary,1,1,79,24016,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:50:29+02:00,biosdefaults_nohdmi_stationary,1,1,79,24016,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:50:41+02:00,biosdefaults_nohdmi_stationary,1,1,80,24320,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:50:52+02:00,biosdefaults_nohdmi_stationary,1,1,80,24320,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:51:04+02:00,biosdefaults_nohdmi_stationary,1,1,80,24320,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:51:15+02:00,biosdefaults_nohdmi_stationary,1,1,80,24320,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:51:27+02:00,biosdefaults_nohdmi_stationary,1,1,80,24320,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:51:38+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:51:49+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:01+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:12+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,18475,1122,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:23+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:34+02:00,biosdefaults_nohdmi_stationary,1,1,81,24624,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:46+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:52:57+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:53:08+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:53:20+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17915,1088,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:53:31+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:53:42+02:00,biosdefaults_nohdmi_stationary,1,1,82,24928,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:53:54+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:54:05+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:54:17+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:54:28+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:54:39+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,17355,1054,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:54:51+02:00,biosdefaults_nohdmi_stationary,1,1,83,25232,16795,1020,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:55:02+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16795,1020,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:55:14+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16795,1020,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:55:26+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16795,1020,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:55:38+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16795,1020,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:55:50+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:02+02:00,biosdefaults_nohdmi_stationary,1,1,84,25536,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:13+02:00,biosdefaults_nohdmi_stationary,1,1,85,25536,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:24+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:36+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:47+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:56:58+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,16235,986,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:57:10+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:57:21+02:00,biosdefaults_nohdmi_stationary,1,1,85,25840,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:57:33+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:57:44+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:57:55+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:58:06+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:58:18+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:58:29+02:00,biosdefaults_nohdmi_stationary,1,1,86,26144,15676,952,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:58:41+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15676,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:58:52+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:59:03+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:59:14+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:59:26+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:59:37+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,918,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:59:48+02:00,biosdefaults_nohdmi_stationary,1,1,87,26448,15116,884,16419,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:00+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14536,884,16443,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:11+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:22+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14514,884,16443,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:34+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:45+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:00:57+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:01:08+02:00,biosdefaults_nohdmi_stationary,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:01:17+02:00,cv88_switch_to_highcap,1,1,88,26752,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:01:24+02:00,cv88_switch_to_highcap,1,1,89,27056,14556,884,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T12:01:30+02:00,cv88_switch_to_highcap,1,1,89,27056,14556,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:01:36+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:01:43+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:01:49+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:01:55+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:02+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:08+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:14+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:21+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:27+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:33+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:40+02:00,cv88_switch_to_highcap,1,1,89,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:46+02:00,cv88_switch_to_highcap,1,1,90,27056,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:52+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:02:59+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:05+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:11+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:17+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:23+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:30+02:00,cv88_switch_to_highcap,1,1,90,27360,13996,850,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:36+02:00,cv88_switch_to_highcap,1,1,90,27360,13436,816,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:42+02:00,cv88_switch_to_highcap,1,1,90,27360,13436,0,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:49+02:00,cv88_switch_to_highcap,1,1,90,27360,12281,782,16419,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:03:55+02:00,cv88_switch_to_highcap,1,1,90,27360,12858,782,16443,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:01+02:00,cv88_switch_to_highcap,1,1,90,27360,12840,782,16419,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:07+02:00,cv88_switch_to_highcap,1,1,90,27360,12858,782,16443,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:14+02:00,cv88_switch_to_highcap,1,1,90,27360,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:20+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:26+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:33+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
2026-09-19T12:04:39+02:00,cv88_switch_to_highcap,1,1,91,27664,12876,782,16466,0x08,0x00,0x00,0x00,0x00
